complaint;category
Hello, the government hospital in Sultanpur is always out of even basic medicines. Waiting for your response.;Public Health
The old age home in Bokaro does not have enough staff to take care of the residents. Please increase police patrolling in our area.;Safety & Public Welfare
I am writing on behalf of the residents of Simdega because the primary health centre in Palamu has no doctor available most days. Requesting you to resolve this soon.;Public Health
The footpath near Netarhat has been broken for a long time and it is difficult for elderly people to walk. Hope for quick action from your side.;Infrastructure & Roads
Sir ji, people are dumping waste in the open plot near Palamu and it is attracting stray animals. We have been complaining about this for a long time now.;Waste Management
I am a class 16 student from Manjhgaon and there is no internet facility in our school which makes it hard to access online classes. This is affecting our studies a lot, please help.;Education
Dear Officer, the drainage near the market in Koderma is blocked with garbage and overflowing. Waiting for your response.;Waste Management
Respected Sir/Madam, many people in Giridih have fallen sick with diarrhea after the recent floods. Waiting for your response.;Public Health
Respected Authority, the stone crushing unit near Pathalgaon covers our entire area in dust every afternoon. Requesting you to resolve this soon.;Air & Environmental Pollution
There has been a power cut in Barhi for more than 37 hours every day. This is affecting our daily work a lot.;Energy & Sustainability
Sir ji, the irrigation canal near Dumka has been dry for the entire season and our crops are dying. Requesting you to resolve this soon.;Agriculture & Rural Development
Respected Sir/Madam, people are dumping waste in the open plot near Chandpur and it is attracting stray animals. This needs to be fixed immediately.;Waste Management
Sir ji, the boundary wall of the community park in Devgarh is broken and children can wander onto the main road. Please help us as soon as possible.;Safety & Public Welfare
Sir, the government hospital in Palamu is always out of even basic medicines. This needs to be fixed immediately.;Public Health
Respected Sir/Madam, the CCTV cameras installed near Chaibasa market have not been working for months. Hope for quick action from your side.;Safety & Public Welfare
Dear Officer, sewage water is mixing with the drinking water pipeline in Sultanpur. This needs to be fixed immediately.;Water Quality & Sanitation
Being a parent in Tamar, there is no streetlight near the girls hostel in Godda and it feels unsafe to walk at night. Kindly take necessary action.;Safety & Public Welfare
Respected Sir/Madam, open drains near Gumla are overflowing and spreading a foul smell all over the street. We are worried about the health of our children because of this water.;Water Quality & Sanitation
Hello, burning of garbage in the open near our colony causes heavy smoke every evening. Please look into this matter urgently.;Air & Environmental Pollution
Sir ji, the garbage collection point near Shivpuri has not been cleared in weeks and smells very bad. Please look into this matter urgently.;Waste Management
Respected Sir/Madam, there is only one teacher for the entire primary school in Ramgarh. Please help us as soon as possible.;Education
As a woman living in Bero, the old age home in Torpa does not have enough staff to take care of the residents. Please help us as soon as possible.;Safety & Public Welfare
Every day in Jamtara the new transformer promised for Ramgarh has still not been installed. Please send an electrician to check the meter and wiring.;Energy & Sustainability
